implementation,modulus,size,time_us
朴素NTT,7340033,4,0.02094
朴素NTT,7340033,131072,109.76
朴素NTT,104857601,131072,114.005
朴素NTT,469762049,131072,109.757
朴素NTT,1337006139375617,131072,130.697
NEON优化,7340033,4,0.00763
NEON优化,7340033,131072,62.9891
NEON优化,104857601,131072,63.3193
NEON优化,469762049,131072,65.3196
NEON优化,1337006139375617,131072,132.868
DIF优化,7340033,4,0.02229
DIF优化,7340033,131072,25.488
DIF优化,104857601,131072,25.8141
DIF优化,469762049,131072,25.6865
DIF优化,1337006139375617,131072,111.401
NEON+DIF优化,7340033,4,0.03407
NEON+DIF优化,7340033,131072,35.3484
NEON+DIF优化,104857601,131072,35.0793
NEON+DIF优化,469762049,131072,35.2096
NEON+DIF优化,1337006139375617,131072,110.629 